Temperatura,E_L20,M_L20,E_L40,M_L40,E_L60,M_L60,E_L80,M_L80,E_L100,M_L100,E_L120,M_L120,E_L140,M_L140,E_L160,M_L160,E_L180,M_L180,E_L200,M_L200
3.2,-3.9894694303342426,0.041911404429778504,-3.541384613575396,0.2653555536111597,-3.8759690268475007,0.45116571205294725,-3.5392343650106293,0.4516098431582105,-3.683803489948271,0.5533870821291788,-3.6850654980633917,0.5958420265479268,-3.5960700231627962,0.6374548301331375,-3.5937771917151533,0.6657470055851213,-3.478859217658023,0.7019975890394573,-3.400127714486314,0.722271106394468
3.3000000000000003,-3.5078168686474727,0.19211064446777662,-3.605193444233782,0.29022690057748557,-3.589239297507348,0.36762715991770506,-3.528436691143084,0.4679806541480731,-3.4998430817555697,0.5182552054479456,-3.526549535815033,0.5536686627148477,-3.3876731864621523,0.5954137477735217,-3.43718330398058,0.6380984259473378,-3.312665052621106,0.6631345165366366,-3.2358076371389406,0.6889389260553698
3.4000000000000004,-3.4211781456611328,0.16921578921053945,-3.2686317065872568,0.18391177720556987,-3.3340900259041293,0.3373307574503388,-3.3426682778435737,0.43439697238159525,-3.3000152296316423,0.4649854721452785,-3.3395056320959084,0.5192765824173687,-3.260111969072751,0.5653312388876522,-3.3135560665441806,0.6128346302327798,-3.1420754137503026,0.6309723389053874,-3.14718124474785,0.6747323023384884
3.5000000000000004,-3.4517266656955297,0.07513199340032999,-3.1800920148802256,0.17453632409189768,-3.2869090673086636,0.33852506161934337,-3.1621648603819255,0.38825925222809715,-3.264974306282013,0.458239647603524,-3.23354207254805,0.5128537158023683,-3.2219229800420597,0.5600750023797206,-3.1838151237926136,0.5834881891363178,-3.0725195638696063,0.6161424339823627,-2.996190848831435,0.6406849660751697
3.6,-3.1971815101804903,0.05934103294835258,-3.179948282462947,0.22868790780230494,-3.149473404164636,0.2915467705167877,-3.0433097618996623,0.34378085117686025,-3.111486028380016,0.4197443365566344,-3.090559952638782,0.4713376497325485,-3.0647778504912497,0.5321605815060505,-3.050537616574599,0.5513412792146611,-2.974554484956152,0.5931643178114031,-2.9006747859078224,0.6201727446362768
3.7,-3.161005878510777,0.11656492175391231,-3.015323705003587,0.21653796155096125,-3.0400203908221397,0.2962919414306058,-2.942043188901203,0.34363180616492295,-2.9230511668095147,0.38353277867221325,-2.977360322196666,0.45736738304958574,-2.97218857947775,0.511146986705197,-2.965659563191501,0.5436893333869789,-2.8495395505510936,0.5713759590910367,-2.787237741657127,0.5914687119064405
3.8000000000000003,-2.9975095038273754,0.060288985550722464,-2.854745848419793,0.14940010874728132,-2.9510138082918824,0.24646438300102405,-2.829565223339689,0.317700489681379,-2.832380497502678,0.36704366556334433,-2.9003134530701127,0.4370242597515391,-2.8496459531083556,0.48194179808336646,-2.8782638301822887,0.5271686343952537,-2.7701516218920452,0.5504951916933796,-2.7451341626553436,0.5852400430497847
3.9000000000000004,-2.848902067111823,0.050950702464876756,-2.8345799289439197,0.1483751343716407,-2.848602023584955,0.26329463953378557,-2.7952121894418385,0.29073148304396196,-2.7537679768718997,0.34749817301826985,-2.782204183015783,0.3921666972219676,-2.692300440528271,0.4521359227900559,-2.7590519204392705,0.4955144484448535,-2.6667804799082155,0.5266831686326022,-2.625383393336137,0.554020126399368
4.0,-2.8788608564487403,0.09973801309934503,-2.673088979512904,0.11404380515487113,-2.7677359653405778,0.22632661677860924,-2.59478326994151,0.2576289437007037,-2.6402575026944604,0.33280143598564016,-2.7408713036633565,0.4089706729295774,-2.6418478157376493,0.4382743009561594,-2.662082219034399,0.4764675337966638,-2.55027451011079,0.499908271771604,-2.5746595801655876,0.5471129299353503
4.1,-2.649754004764836,0.028009349532523372,-2.6095281526072407,0.12167827054323642,-2.6168986853158644,0.2142910766302043,-2.4967967569971643,0.2582959939563256,-2.5814486830639263,0.32977935420645793,-2.594845993024438,0.36562227490696836,-2.55113906755103,0.4180285446940685,-2.56002743043358,0.45254493282463865,-2.5003794084789153,0.486088175024542,-2.4864917030852216,0.524737749811251
